task,query_mode,query_patches,xuannv_auc,aef_auc,delta_auc,xuannv_ap,aef_ap,delta_ap
education,bbox_region,"patch_000125,patch_000109,patch_000110",0.6995269601606398,0.750141983855291,-0.05061502369465121,0.12921375562760645,0.14143615616377028,-0.01222240053616383
sports,bbox_region,"patch_000042,patch_000142,patch_000125",0.49535901633008983,0.5740225808425454,-0.0786635645124556,0.006176932768795115,0.007118305743390395,-0.0009413729745952806
pitch,bbox_region,"patch_000125,patch_000140,patch_000095",0.5565589421522339,0.6441959036423952,-0.08763696149016131,0.00803917183834682,0.009837993643926336,-0.0017988218055795153
park,bbox_region,"patch_000123,patch_000106,patch_000124",0.775328662583422,0.7966305054538577,-0.021301842870435683,0.2685541337017098,0.2707568482979631,-0.002202714596253319
grass,bbox_region,"patch_000090,patch_000091,patch_000059",0.6913706483432257,0.6038084886779429,0.0875621596652828,0.01505037324123352,0.009255768251001578,0.005794604990231942
