family,task,shot,head,n,f1_mean,f1_std,ap_mean,ap_std,auc_mean,auc_std
aef_annual_2025,road,5,wide_mlp,15,0.45166932737553855,0.09711477081512977,0.4877105723236068,0.09526628843409128,0.8978890655351378,0.04743227936339871
aef_annual_2025,road,10,conv3x3,15,0.5147379105140714,0.09288038880461365,0.5706510151445577,0.08736076980661417,0.8885909886305017,0.04664920458982607
aef_annual_2025,road,10,deep_wide_mlp,15,0.5003651136218326,0.08896885984193818,0.563196432945968,0.08589963493180483,0.9090222539654209,0.043271171724985624
aef_annual_2025,road,10,deeplab_lite,15,0.4921258441485835,0.06807991039466157,0.5132731315135632,0.0921599704230158,0.8606510619938486,0.047861608433087115
aef_annual_2025,road,10,linear,15,0.3335842693219442,0.09349016174098457,0.2868744759422204,0.08058678337792612,0.8521088805791016,0.07516016423838336
aef_annual_2025,road,10,unet,15,0.5050398317231908,0.06740181923676816,0.5372435400381115,0.0742719337559542,0.8723407877140562,0.03526932738875118
aef_annual_2025,road,10,wide_mlp,15,0.4990686320438884,0.07796810005088625,0.560484280440835,0.07707755759579576,0.9102289953770754,0.041616972294792984
aef_annual_2025,water,5,conv3x3,15,0.4385099686464157,0.35725326825723097,0.5128373678292322,0.36443546749342226,0.8267341285601203,0.1377944406187797
aef_annual_2025,water,5,deep_wide_mlp,15,0.4683079995799936,0.34866574814501344,0.5685031911413824,0.36247730499521874,0.8445279512386035,0.13915349919023076
aef_annual_2025,water,5,deeplab_lite,15,0.4259558782556786,0.3425735805130365,0.4492676643937277,0.3648802747665621,0.7599496303061414,0.1717553033269563
aef_annual_2025,water,5,linear,15,0.4421167124498616,0.3417824010204793,0.5326983931410333,0.35265908863422696,0.7951030702265027,0.1891897489730243
aef_annual_2025,water,5,unet,15,0.3982624673359491,0.3440299075235175,0.4130005895261218,0.36567394118134655,0.7519393342696178,0.15579554758553407
aef_annual_2025,water,5,wide_mlp,15,0.49289231533839367,0.34512421347145494,0.5935881041237681,0.3552013525985614,0.8355301426340327,0.14997382523149067
aef_annual_2025,water,10,conv3x3,15,0.4987861753356363,0.3620680278003357,0.5807667108853469,0.35318274440440234,0.8254176334335968,0.19455487554671322
aef_annual_2025,water,10,deep_wide_mlp,15,0.4955119540897838,0.3548362711762199,0.5858356673283817,0.37053322934968436,0.8441924013703563,0.15881505264055
aef_annual_2025,water,10,deeplab_lite,15,0.46652330812627807,0.3408299329780573,0.538444172042729,0.353226237258215,0.8099332312717649,0.18551385933163608
aef_annual_2025,water,10,linear,15,0.4894703666545707,0.34680480234256117,0.6030193470133312,0.3453695919274286,0.7997729422783598,0.2239067094180821
aef_annual_2025,water,10,unet,15,0.4922230779564572,0.35633995691826564,0.5499814842462848,0.3593091292208959,0.8178908355856465,0.18387971963726746
aef_annual_2025,water,10,wide_mlp,15,0.4939589857982876,0.3563288431783615,0.6052418398762908,0.3572683254816237,0.8371167286908405,0.17532057689778732
p10c_haidian_frozen_harbin,building,5,conv3x3,15,0.12868639510362012,0.13816966985572268,0.10198420975090429,0.11926103721072742,0.8122858308494796,0.13463308677934352
p10c_haidian_frozen_harbin,building,5,deep_wide_mlp,15,0.1268558511848156,0.15285730111351623,0.09799306612009274,0.13086757588921982,0.8314455715682798,0.128784087426448
p10c_haidian_frozen_harbin,building,5,deeplab_lite,15,0.09400090567177052,0.11600509855883955,0.061565331270798745,0.08419324819515699,0.7009453125871485,0.2037383065688914
p10c_haidian_frozen_harbin,building,5,linear,15,0.1148411125869858,0.146128371084996,0.07609355406758127,0.1050205092761957,0.770401834309136,0.18321421113650949
