family,task,polygon_count,prototype_mode,query_mode,n,f1_mean,f1_std,ap_mean,ap_std,auc_mean,auc_std
p10c_harbin_scratch,road,1,max,adaptive,15,0.1809896564342795,0.07759758004585805,0.11053691429914632,0.05342649987378959,0.6149950351388588,0.17058814833890915
p10c_harbin_scratch,road,1,max,disabled,15,0.17992294256355484,0.07705639549628117,0.10981050762116117,0.052820060124852894,0.6139987904278278,0.1698357969253589
p10c_harbin_scratch,road,1,single,adaptive,15,0.1809896564342795,0.07759758004585805,0.11053691461118631,0.053426499963940506,0.6149950350765638,0.17058814829669855
p10c_harbin_scratch,road,1,single,disabled,15,0.17992294256355484,0.07705639549628117,0.10981050754764364,0.05282005989943761,0.6139987903326691,0.16983579686948597
p10c_harbin_scratch,road,3,max,adaptive,15,0.17662246819409705,0.07203877803161439,0.10334234781901894,0.0533193989942742,0.6060416642106196,0.11574059377126832
p10c_harbin_scratch,road,3,max,disabled,15,0.17634920683101898,0.07065791192674457,0.10289037632440742,0.052325147917452665,0.6097679494906888,0.10257233088561458
p10c_harbin_scratch,road,3,single,adaptive,15,0.17722057468629684,0.07841281880805573,0.10585323847456381,0.055971916844628405,0.609741108280269,0.1484054477124351
p10c_harbin_scratch,road,3,single,disabled,15,0.17196843429412875,0.07867323629960032,0.10539326250789814,0.05553688190681745,0.6102997810657207,0.1469327525437991
p10c_harbin_scratch,road,5,max,adaptive,15,0.19271795971878947,0.06457004899214878,0.11901398439689319,0.04849977502062924,0.6668563176878233,0.07541268479034434
p10c_harbin_scratch,road,5,max,disabled,15,0.19196198177264887,0.06443498855052772,0.11837461647503125,0.048932769695553276,0.6650234577449579,0.07401431778651234
p10c_harbin_scratch,road,5,single,adaptive,15,0.19726472393827046,0.06390521131304705,0.11880323379146591,0.04697591514647555,0.6725873537430422,0.11400611183665603
p10c_harbin_scratch,road,5,single,disabled,15,0.19015001139030777,0.06698504937019367,0.11893082780924759,0.046743176778057095,0.6742473080712723,0.1139139694249597
p10c_harbin_scratch,road,9,max,adaptive,15,0.2048885707023253,0.06865484929220077,0.12702631674859172,0.050732497349607455,0.6867676720899991,0.07811447094831091
p10c_harbin_scratch,road,9,max,disabled,15,0.2055511369580731,0.06990542075183194,0.12691420712941995,0.0514730207855138,0.686582294774365,0.0782522041866322
p10c_harbin_scratch,road,9,single,adaptive,15,0.20222873594550267,0.05825818258627636,0.12336202202031063,0.04151135615958562,0.6926415293128354,0.09477995728110429
p10c_harbin_scratch,road,9,single,disabled,15,0.20089100878073626,0.05885057015121408,0.12320809383191424,0.04151775267526091,0.6927401729332937,0.09660343019715302
p10c_harbin_scratch,water,1,max,adaptive,15,0.2815673528956865,0.32849775303683787,0.2713476802095409,0.3341689424154914,0.5462800163010509,0.1947146322910758
p10c_harbin_scratch,water,1,max,disabled,15,0.27980184571298844,0.3267699850321838,0.2689875799695947,0.33102125093419127,0.5466785932674204,0.19087560917627766
p10c_harbin_scratch,water,1,single,adaptive,15,0.2815673528956865,0.32849775303683787,0.2713476801031039,0.3341689422257885,0.5462800167329931,0.1947146318386208
p10c_harbin_scratch,water,1,single,disabled,15,0.27980184571298844,0.3267699850321838,0.26898757957449587,0.33102125015284306,0.5466785937345028,0.19087560875096177
p10c_harbin_scratch,water,3,max,adaptive,15,0.2705248660496232,0.3089555531076617,0.21182693956689702,0.2657308509757193,0.4683267045016567,0.16320417830074593
p10c_harbin_scratch,water,3,max,disabled,15,0.2663893278460431,0.3060934493205602,0.21106042511462184,0.2638149582341787,0.4688704993663124,0.15816075705725846
p10c_harbin_scratch,water,3,single,adaptive,15,0.2838739414926909,0.3140418665284785,0.22396847199541423,0.277592038161733,0.48613115405247875,0.17456842736929973
p10c_harbin_scratch,water,3,single,disabled,15,0.281377747002722,0.3122716062096531,0.22324336249026705,0.27585501585145994,0.48688697492488797,0.1723744327520046
p10c_harbin_scratch,water,5,max,adaptive,15,0.28131675633673014,0.3207845747421172,0.21402467837392336,0.27586246559619104,0.4861571301144263,0.1493940009317048
p10c_harbin_scratch,water,5,max,disabled,15,0.28108519998824144,0.32091667122224776,0.21290043298288971,0.2725273912741525,0.4858357593578083,0.14349712235872922
p10c_harbin_scratch,water,5,single,adaptive,15,0.30211955118826617,0.3326793898898476,0.25434288639266645,0.27752620512853376,0.5257180291492402,0.17524930827979124
p10c_harbin_scratch,water,5,single,disabled,15,0.3017329291899312,0.33183397989789937,0.25259671867863037,0.2757310596846189,0.5242291342510825,0.17260576058239466
p10c_harbin_scratch,water,9,max,adaptive,15,0.29328328866981035,0.3220060922399725,0.2190072763721421,0.2730344801816494,0.5242326654907511,0.17377591663115607
p10c_harbin_scratch,water,9,max,disabled,15,0.2934603441854264,0.3203166563484223,0.21848265446797793,0.27041688827348626,0.5254274359993804,0.1678107709629008
p10c_harbin_scratch,water,9,single,adaptive,15,0.2914050431760977,0.3159094486766147,0.2812686951622564,0.3103830020418929,0.5802271209079461,0.15881263483187627
p10c_harbin_scratch,water,9,single,disabled,15,0.2816437459545792,0.30797287215804703,0.2810123075620711,0.30846847138576083,0.5828445570660492,0.15597939631695487
