task,query_patches,xuannv_auc,aef_auc,delta_auc,xuannv_ap,aef_ap,delta_ap
building,"patch_000093,patch_000110,patch_000112,patch_000111,patch_000095",0.8206601704289238,0.8331381873933892,-0.012478016964465377,0.28736268292460215,0.2881513646984501,-0.0007886817738479435
water,"patch_000106,patch_000089,patch_000124,patch_000275,patch_000123",0.8620810009915317,0.9202188404706009,-0.05813783947906914,0.5996375208680591,0.6608006575899973,-0.06116313672193818
road,"patch_000092,patch_000096,patch_000205,patch_000183,patch_000245",0.7789892959351034,0.704337897532318,0.07465139840278534,0.37394982212768196,0.25806725107142214,0.11588257105625982
research_gov,"patch_000246,patch_000063,patch_000120,patch_000247,patch_000093",0.7092632831452101,0.7360606838286796,-0.026797400683469474,0.04250221631491778,0.04092616778190311,0.0015760485330146706
